State/UT,Month,2019,2018,2017,2016,2015,percentage2019,percentage2018,percentage2017,percentage2016,percentage2015,Monthly_visitors2019,Monthly_visitors2018,Monthly_visitors2017,Monthly_visitors2016,Monthly_visitors2015
Manipur ,December,1226398,1191498,1167840,1021375,912723,0.04,0.02,0.01,0.01,0.01,490.5592,238.2996,116.78399999999999,102.1375,91.2723
Meghalaya,January,1111040,1045027,964109,844533,790854,0.08,0.06,0.04,0.03,0.03,888.832,627.0161999999999,385.6436,253.35989999999998,237.25619999999998
Meghalaya,February,1090516,1049259,931025,848782,761007,0.08,0.06,0.04,0.03,0.03,872.4128,629.5554,372.41,254.63459999999998,228.3021
Meghalaya,March,978236,1021539,885936,809107,729154,0.08,0.06,0.04,0.03,0.03,782.5888,612.9234,354.37440000000004,242.7321,218.7462
Meghalaya,April,774651,745033,717899,592004,541551,0.08,0.06,0.04,0.03,0.03,619.7208,447.0198,287.1596,177.60119999999998,162.46529999999998
Meghalaya,May,615136,606513,622408,527466,509869,0.08,0.06,0.04,0.03,0.03,492.10880000000003,363.9078,248.9632,158.2398,152.9607
Meghalaya,June,726446,683935,663470,546972,512341,0.08,0.06,0.04,0.03,0.03,581.1568,410.361,265.388,164.0916,153.7023
Meghalaya,July,818125,806493,779309,733834,628323,0.08,0.06,0.04,0.03,0.03,654.5,483.8958,311.72360000000003,220.1502,188.49689999999998
Meghalaya,August,800837,785993,719129,652111,599478,0.08,0.06,0.04,0.03,0.03,640.6696,471.5958,287.6516,195.6333,179.8434
Meghalaya,September,751513,719894,719964,608177,542600,0.08,0.06,0.04,0.03,0.03,601.2104,431.9364,287.98560000000003,182.45309999999998,162.78
Meghalaya,October,945017,890223,866976,741770,683286,0.08,0.06,0.04,0.03,0.03,756.0136,534.1338,346.79040000000003,222.53099999999998,204.98579999999998
Meghalaya,November,1092440,1012569,997738,878280,815947,0.08,0.06,0.04,0.03,0.03,873.952,607.5414,399.09520000000003,263.484,244.7841
Meghalaya,December,1226398,1191498,1167840,1021375,912723,0.08,0.06,0.04,0.03,0.03,981.1184,714.8987999999999,467.13599999999997,306.4125,273.8169
Mizoram,January,1111040,1045027,964109,844533,790854,0.01,0.0,0.0,0.0,0.0,111.104,0.0,0.0,0.0,0.0
Mizoram,February,1090516,1049259,931025,848782,761007,0.01,0.0,0.0,0.0,0.0,109.0516,0.0,0.0,0.0,0.0
Mizoram,March,978236,1021539,885936,809107,729154,0.01,0.0,0.0,0.0,0.0,97.8236,0.0,0.0,0.0,0.0
Mizoram,April,774651,745033,717899,592004,541551,0.01,0.0,0.0,0.0,0.0,77.4651,0.0,0.0,0.0,0.0
Mizoram,May,615136,606513,622408,527466,509869,0.01,0.0,0.0,0.0,0.0,61.513600000000004,0.0,0.0,0.0,0.0
Mizoram,June,726446,683935,663470,546972,512341,0.01,0.0,0.0,0.0,0.0,72.6446,0.0,0.0,0.0,0.0
Mizoram,July,818125,806493,779309,733834,628323,0.01,0.0,0.0,0.0,0.0,81.8125,0.0,0.0,0.0,0.0
Mizoram,August,800837,785993,719129,652111,599478,0.01,0.0,0.0,0.0,0.0,80.0837,0.0,0.0,0.0,0.0
Mizoram,September,751513,719894,719964,608177,542600,0.01,0.0,0.0,0.0,0.0,75.1513,0.0,0.0,0.0,0.0
